date_start,date_end,Raion
2022-04-28,2022-05-03,Shostkynskyi
2022-04-24,2022-05-24,Kharkivskyi
2022-04-25,2022-05-24,Chuhuivskyi
2022-05-03,2022-05-24,Kupianskyi
2022-05-03,2022-05-24,Iziumskyi
2022-04-23,2022-04-29,Shchastynskyi
2022-04-14,2022-04-29,Alchevskyi
2022-04-14,2022-04-30,Dovzhanskyi
2022-04-14,2022-05-01,Luhanskyi
2022-04-14,2022-05-02,Rovenkivskyi
2022-04-14,2022-05-24,Sievierodonetskyi
2022-05-03,2022-05-24,Alchevskyi
2022-05-03,2022-05-24,Svativskyi
2022-05-03,2022-05-24,Starobilskyi
2022-04-14,2022-05-24,Horlivskyi
2022-04-14,2022-05-24,Donetskyi
2022-04-14,2022-05-24,Kalmiuskyi
2022-04-14,2022-05-24,Mariupolskyi
2022-05-10,2022-05-24,Volnovaskyi
2022-04-14,2022-04-20,Vasylivskyi
2022-04-14,2022-04-20,Melitopolskyi
2022-04-14,2022-05-05,Polohivskyi
2022-04-14,2022-05-05,Berdianskyi
2022-04-20,2022-05-02,Kakhovskyi
2022-04-20,2022-05-02,Henicheskyi
2022-05-05,2022-05-24,Skadovskyi
2022-05-05,2022-05-24,Khersonskyi
