Date,Cumulative Refugees
6/1/2022,4773142
6/2/2022,4774703
6/3/2022,4774703
6/5/2022,4792122
6/6/2022,4824522
6/7/2022,4913869
6/8/2022,4919773
6/9/2022,4942901
6/10/2022,4958105
6/11/2022,4972953
6/12/2022,4986518
6/13/2022,5076934
6/14/2022,5113791
6/15/2022,5129970
6/16/2022,5145849
6/17/2022,5146852
6/19/2022,5147396
6/20/2022,5166105
6/21/2022,5349476
6/22/2022,5349487
6/23/2022,5350285
6/26/2022,5350863
6/27/2022,5371814
6/28/2022,5493080
6/29/2022,5493884
7/3/2022,5498558
7/4/2022,5524054
7/5/2022,5651401
7/6/2022,5655548
7/10/2022,5656749
7/11/2022,5675126
7/12/2022,5827712
7/13/2022,5846934
7/14/2022,5863980
7/15/2022,5883282
7/16/2022,5902393
7/17/2022,5922269
7/18/2022,5956085
7/19/2022,5988696
7/20/2022,6011362
7/21/2022,6026076
7/22/2022,6043626
7/23/2022,6060514
7/24/2022,6076119
7/25/2022,6099745
7/26/2022,6160801
7/27/2022,6178196
7/28/2022,6194406
7/29/2022,6211291
7/30/2022,6227592
7/31/2022,6244872
8/1/2022,6272752
8/2/2022,6302641
8/3/2022,6305849
8/7/2022,6305867
8/8/2022,6311974
8/9/2022,6463084
8/10/2022,6490187
8/13/2022,6521187
8/14/2022,6521506
8/15/2022,6524303
8/16/2022,6708477
8/17/2022,6709366
8/19/2022,6710454
8/20/2022,6714178
8/21/2022,6715908
8/22/2022,6746923
8/23/2022,6880285
8/24/2022,6880285
8/28/2022,6879397
8/29/2022,6901155
8/30/2022,7012230
8/31/2022,7012250
9/4/2022,7008505
9/5/2022,7108206
9/6/2022,7144173
9/7/2022,7146596
9/11/2022,7148514
9/12/2022,7267698
9/13/2022,7288155
9/14/2022,7300371
9/15/2022,7312699
9/16/2022,7326447
9/17/2022,7339526
9/18/2022,7352374
9/19/2022,7381378
9/20/2022,7399966
9/21/2022,7399972
9/22/2022,7400481
9/23/2022,7401475
9/24/2022,7401475
9/25/2022,7403070
9/26/2022,7517893
9/27/2022,7533843
9/28/2022,7533851
9/30/2022,7538397
10/2/2022,7540367
10/3/2022,7638774
10/4/2022,7647426
10/7/2022,7647769
10/8/2022,7652542
