raion,hh
Kyiv,721762
Kharkivskyi,538239
Donetskyi,489490
Dniprovskyi,434657
Lvivskyi,398740
Odeskyi,376065
Khmelnytskyi,314449
Zaporizkyi,308556
Kryvorizkyi,299146
Horlivskyi,288942
Zhytomyrskyi,286729
Poltavskyi,274572
Chernivetskyi,270770
Rivnenskyi,269380
Vinnytskyi,256823
Ternopilskyi,251163
Kramatorskyi,250978
Mykolaivskyi,240452
Cherkaskyi,238949
Ivano-Frankivskyi,223521
Alchevskyi,214178
Luhanskyi,203107
Chernihivskyi,201014
Kropyvnytskyi,199115
Sumskyi,198561
Bilotserkivskyi,196598
Khersonskyi,195365
Mariupolskyi,185081
Lutskyi,184968
Chortkivskyi,183003
Pokrovskyi,182703
Bakhchysaraiskyi,178071
Simferopolskyi,176152
Kremenchutskyi,172958
Stryiskyi,155905
Kamianskyi,147367
Shepetivskyi,147128
Haisynskyi,146495
Kaluskyi,144299
Kamianets-Podilskyi,143404
Korostenskyi,140627
Khustskyi,140083
Sievierodonetskyi,139217
Kovelskyi,139014
Buchanskyi,138513
Kolomyiskyi,138237
Melitopolskyi,134958
Umanskyi,129422
Nizhynskyi,129006
Zvenyhorodskyi,128674
Obukhivskyi,126167
Podilskyi,125423
Boryspilskyi,124936
Synelnykivskyi,119976
Myrhorodskyi,117787
Sarnenskyi,113742
Sambirskyi,111823
Chervonohradskyi,110722
Chuhuivskyi,110287
Brovarskyi,110059
Kakhovskyi,109403
Mukachivskyi,109257
Izmailskyi,108032
Lubenskyi,107115
Yevpatoriiskyi,104204
Uzhhorodskyi,104036
Oleksandriiskyi,103857
Konotopskyi,102872
Rovenkivskyi,102539
Volnovaskyi,102430
Polohivskyi,101560
Nikopolskyi,100604
Khmilnytskyi,100371
Yavorivskyi,99989
Berehivskyi,99822
Feodosiiskyi,98941
Bilhorod-Dnistrovskyi,98509
Iziumskyi,98078
Tulchynskyi,91202
Drohobytskyi,91068
Vasylivskyi,90559
Berdianskyi,90398
Voznesenskyi,90140
Zviahelskyi,88965
Dubenskyi,88068
Shostkynskyi,87573
Novoukrainskyi,87017
Zhmerynskyi,86422
Prylutskyi,86356
Dnistrovskyi,86260
Zolochivskyi,85720
Tiachivskyi,85334
Zolotoniskyi,85144
Bashtanskyi,85110
Kerchynskyi,83908
Bolhradskyi,83601
Berdychivskyi,82121
Yaltynskyi,82085
Kalmiuskyi,81075
Bakhmutskyi,80751
Bohodukhivskyi,80438
Dovzhanskyi,80420
Henicheskyi,79870
Volodymyrskyi,79312
Novomoskovskyi,79290
Mohyliv-Podilskyi,78810
Pervomaiskyi,77260
Kamin-Kashyrskyi,76934
Kremenetskyi,76851
Starobilskyi,76636
Pavlohradskyi,76220
Kupianskyi,76062
Skadovskyi,75954
Holovanivskyi,75364
Lozivskyi,75327
Krasnohvardiiskyi,74020
Krasnohradskyi,71103
Berezivskyi,69716
Fastivskyi,69450
Nadvirnianskyi,68847
Romenskyi,66121
Varaskyi,65940
Okhtyrskyi,65827
Beryslavskyi,64102
Bilohirskyi,62006
Vyshhorodskyi,61923
Koriukivskyi,58363
Rozdilnianskyi,56136
Svativskyi,53121
Krasnoperekopskyi,52540
Vyzhnytskyi,48907
Shchastynskyi,47974
Dzhankoiskyi,47933
Rakhivskyi,45499
Novhorod-Siverskyi,39103
Kosivskyi,38622
Verkhovynskyi,17375
Sevastopol,9769
Chornobyl Exclusion Zone,7180
